raw_character_text,dialogue
Marge Simpson,"He's trying to be friendly. You know, if you gave Ned Flanders a chance --"
Homer Simpson,"Oh, here we go again. Look, I don't care if Ned Flanders is the nicest guy in the world, he's a jerk. End of story."
Marge Simpson,"We can't hold it against him, just because he has things a little better than we do --"
Homer Simpson,"Excuse me? Better? Thanks a lot, Marge, you really put me in my place."
Marge Simpson,"Oh, Homer."
Homer Simpson,"Don't get me wrong, it's worth feeling three inches tall to find out what kind of a person you really are. Marge Simpson... President of the International We Love Flanders Fan Club..."
Marge Simpson,
,
Ned Flanders,Fee fi fo fum! I smell the potatoes au gratin of Marge Simp-son! Mmmm- mmm!
Marge Simpson,"Hi, Ned. Homer sends his apologies, but uh... there was some important work at the plant that only he could take care of."
,
Announcer,We now return you to the exciting fifteenth round action at the Canadian Football League draft.
Sportscaster #1,"And so the Saskatchewan Rough Riders, who scored only four rouges all last season, Jack, get the kicker they so sorely need..."
Homer Simpson,"Stupid Flanders... always showing off. Go ahead, Marge, have a ball... What if they game back and I was dead from not eating? They'd cry their eyes out. We should have never gone to the Flanders'. Oh, why did we go to the Flanders' house and leave Homer all alone with no food. And I'd be laughing. Laughing from my grave."
Homer Simpson,"What is it, boy? What? Mmmmmmmm... bar-b-que."
Homer Simpson,"Hey, everyone, I'm back! Great to see ya! Nice seein' ya!"
Ned Flanders,"Heya, Homer!"
Ned Flanders,"Okay, thanks for comin'!"
,
Bart Simpson,"You're ""it""!"
Girl,Electricity!
Bart Simpson,No electricity. Electricity only in freeze tag.
Girl,"Okay... Now you're ""it""!"
,
Homer Simpson,"Hey, no tagbacks."
Bart Simpson,"Yeah, you cheater!"
Girl,You lie like a fly with a booger in its eye.
Homer Simpson,The fly was funny and a booger was the icing on the cake...
Ned Flanders,"Friends, we love you all, but I also have a ""sinister"" motive for asking you all here -- ""sinister"" being Latin for ""left-handed."" But enough joking."
Homer Simpson,That was a joke?
Ned Flanders,"As of Friday, I'm saying toodle-oo to the pharmaceutical game."
Ned Flanders,"No, I kid you not. Here's the noose I had to wear for ten years."
Neighborhood Guy,"What are you going to do, Ned?"
Ned Flanders,"Well sir, like one out of every nine Americans, I'm left-handed. And let me tell you, it ain't all peaches and cream. Your writing gets smeared. Lord help you if you want to drive a standard transmission."
Ned Flanders,"Well sir, I'm opening a one-stop store for Southpaws. Everything from left-handed apple peelers to left-handed zithers. I'm gonna call it the Leftorium."
Ned Flanders,"So Homer, I'm dyin' to know. What do you think of the Leftorium?"
Homer Simpson,Uh... Sounds like a pretty dumb idea to me.
Ned Flanders,"Well, I know it's a little risky and it's gonna be a lot of hard work, but gosh darn it, it's gonna be a lot of fun, too."
Homer Simpson,"Fun? Where is this store, Flanders? The merry old land of Oz?"
Ned Flanders,"Oh, no. The Springfield Mall."
Maude Flanders,"Oh, here, you two. Make a wish."
Homer Simpson,Nah.
Maude Flanders,It's fun.
Homer Simpson,"No, it isn't."
Ned Flanders,"You must have something you want to wish for, Homer."
Homer Simpson,"Hmm, let's see."
Homer Simpson,Nah.
Homer Simpson,Hmmm.
Homer Simpson,Heyyyy.
Ned Flanders,"Come on, Homer! I got an ambition to do some wishin'!"
Homer Simpson,"Keep your pants on, Flanders! I'm wishing as fast as I can!"
Homer Simpson,Ooooh.
Homer Simpson,
Homer Simpson,Mmmm -- too far.
Homer Simpson,Okay. Ready.
Homer Simpson,Yesssss! Oh yessss! Read it and weep. In your face. I've got more chicken bone!
Maude Flanders,"What'd you wish for, Homer?"
Ned Flanders,"No, no, no, don't say. Otherwise it won't come true."
Homer Simpson,Oooh. That would be a shame.
Homer Simpson,"Wouldn't it, Flanders?"
,
Bart Simpson,
Marge Simpson,"Bart, how many hours a day do you watch TV?"
Bart Simpson,Six. Seven if there's something good on.
Marge Simpson,Don't you think you should get a little fresh air and maybe some exercise?
Bart Simpson,"Yeah, but what are ya gonna do?"
Homer Simpson,"Marge, TV gives so much and asks so little. It's a boy's best friend."
Marge Simpson,"That's the problem. Even as we speak, millions of children are staring at the TV instead of getting some much-needed exercise. Those children's parents should be ashamed of themselves."
Akira,"Hello, I am Akira. HA!"
Akira,That didn't hurt very much because I know the ancient art of karate.
Akira,Karate focuses the mind and gives one self-confidence.
Akira,People from all walks of life... doctors...
Doctor,Hii--ya!
Akira,... homemakers...
Homemaker,Hoo--yea!
Akira,... landscape architects...
Landscaper,Ugh--ya!
Akira,... choreographers...
Choreographer,Haa!
Akira,"High karate at low, low prices."
George Washington,"I cannot tell a lie, this is a great deal."
Akira,HA!
Bart Simpson,"Hey Mom, how 'bout if I learn karate? Will that we make you happy?"
Marge Simpson,"That sounds fine, Bart."
Homer Simpson,"See, Marge? You knock TV and then it helps you out. I think you owe somebody a little apology."
Marge Simpson,
,
Homer Simpson,"Well, if it isn't the Leftorium."
,
Homer Simpson,Ow. Ow. Ow. Ow.
Homer Simpson,"Hey Flanders, how's business?"
Ned Flanders,"Oh, a little pokey, but things are gonna pick up."
Woman,I am so sorry. How much do I owe you?
Ned Flanders,"Now, you put that money away. That was an accident."
Woman,"Really? Well, thanks. Could you validate my parking?"
Ned Flanders,Absotively posilutely.
Homer Simpson,"So, Flanders, have you sold anything?"
Ned Flanders,N-Not yet. But one of the mall security guards took a good long look at a left-handed ice cream scoop.
,
Akira,"Greetings. I am Akira, your guide on the path to true karate. And this is our map, the Art of War by Sun Tzu. It will teach us our most important lesson: we learn karate so that we need never use it."
Bart Simpson,"Um, excuse me, sir. I already know how not to hit a guy. Can we break out the nunchucks?"
Akira,"Ah, yes, the impetuousness of youth! For now, let us read."
Bart Simpson,"Akira, my good man. When do we break blocks of ice with our heads?"
Akira,First you must fill your head with wisdom. Then you can hit ice with it.
Bart Simpson,"Yo, sensei, can I go to the bathroom?"
Akira,"You can, if you believe you can."
Bart Simpson,Paying money to read books... the hell with this.
,
Bart Simpson,"Come on, Touch of death. Touch of death. Touch of death."
Video Voice,Touch of death!
,
Homer Simpson,"I'm telling you, Flanders' store was dee-serted. So what do you think of your bestest buddy now, Marge?"
Lisa Simpson,"Dad, do you know what Schadenfreude is?"
Homer Simpson,"No, I do not know what Schadenfreude is. Please tell me, because I'm dying to know."
Lisa Simpson,"It's the German term for ""shameful joy"" -- taking pleasure in the suffering of others."
Homer Simpson,"Oh, come on, Lisa. I'm just glad to see him fall flat on his butt. He's usually all happy and comfortable and surrounded by loved ones, and it makes me feel... What's the opposite of that shameful joy thing of yours?"
Lisa Simpson,Sour grapes.
Homer Simpson,"Boy, those Germans have a word for everything."
Marge Simpson,"So Bart, what did you learn in karate school today?"
Homer Simpson,"Yeah, come on boy, this better be worth my ten bucks."
Bart Simpson,"Uh, I learned the touch of death."
Homer Simpson,"Ooh, the touch of death."
Bart Simpson,"Permit me to demonstrate. Lisa, shut your eyes. Soon you will be at peace."
Lisa Simpson,"Hey, quit it, Bart. Quit it! Hey, quit it, quit it, quit it! M-o-o-o-m!"
Marge Simpson,"Bart, don't use the touch of death on your sister."
,
Bart Simpson,Uh-oh. Gotta get back to karate class.
Bart Simpson,You missed a spot.
Bart Simpson,"All right. Comin' through. Outta my way. Move it along. Step aside, lady."
Homer Simpson,"Hey, boy. How was class?"
Bart Simpson,Today we learned how to rip a man's heart out and show it to him before he dies.
Homer Simpson,"Oh, that'll learn 'im."
,
Jimbo Jones,What'd ya swipe?
DOLPH,"An ""I Love Lefties"" shot glass."
Kearney Zzyzwicz,Left-handed pinking shears.
Jimbo Jones,Pinking shears? Let's go to the Food Court and steal some baked potatoes.
Homer Simpson,"Hey Flanders, when are your busy hours?"
Ned Flanders,"Oh, oh, oh, I expect things to start picking up soon. I think word of mouth is startin' to spread."
Man Shopper,"Hey, I hear you validate parking tickets without purchase."
Ned Flanders,"Oh, right as rain. Or, as we say around here, left as rain."
Man Shopper,Just stamp the ticket.
Ned Flanders,"Uh, okay."
,
Barney Gumble,"Hey Homer, how's your neighbor's store doing?"
Homer Simpson,Lousy. He just sits there all day. He'd have a great job if he didn't own the place.
Moe Szyslak,Crummy right-handed corkscrews! What does he sell?
Homer Simpson,"Uh, well actually, Moe..."
HOMER (CONT'D,I dunno.
,
Bart Simpson,"Hey, Lis. Change the channel."
Lisa Simpson,You change it.
Lisa Simpson,"Okay, okay."
Bart Simpson,I grow weary of this new channel. Change it back.
Lisa Simpson,But Bart --
,
Homer Simpson,"Apple, apple, apple... Come on candy bar. Hey, I know you! You're that first apple I didn't want. That sinks it. I'm really gonna let 'em have it this time!"
,
Waylon Smithers,"Simpson, put that box on Mr. Burns' desk. Chop, chop!"
C. Montgomery Burns,"Ah! Look, Smithers, another member of our nuclear family, with some helpful suggestions. And what's your name?"
Homer Simpson,"Homer Simpson, sir."
C. Montgomery Burns,"Simpson, eh? Hmm hmmm. I'm Monty Burns."
C. Montgomery Burns,"Hm. ""Keep that handsome owner out of sight. He's distracting the female employees."" Smithers..."
Waylon Smithers,"Got me, sir."
C. Montgomery Burns,"Oh! It's a real one! ""No more apples in the vending machine, please."" Well, that's almost a sentence!"
Homer Simpson,"Can I leave, Mr. Burns?"
C. Montgomery Burns,"Oh, of course. And don't worry, there'll be plenty of apples for you. Nobody will take away your precious apples."
Homer Simpson,But the note was asking you to --
C. Montgomery Burns,"Now, now, now. Tell my secretary I said you could have a free apple. She'll make everything all right, I promise."
C. Montgomery Burns,Damned infernal gizmo. My kingdom for a left-handed can opener!
Homer Simpson,"Um, Mr. Burns..."
Ned Flanders,"Come on, Homer. Tell him about the store. I'm dyin' out here."
Homer Simpson,"Sorry, Flanders."
,
Homer Simpson,Huh?
Ned Flanders,Are you sure you're not interested? Two hundred dollars is only the asking price.
Man,"Sorry, Ned."
Ned Flanders,"Hey, I'm flexible! You don't have to pay all at once. I'll be here all night if you change your mind."
Homer Simpson,"Hey, Flanders. Is everything okay?"
Ned Flanders,"Oh, yeah. Sure. Thought I'd just get rid of some of the clutter. See anything you like?"
Homer Simpson,"Oh, I get it. It's not good enough for you, but it's good enough for me! Well, I wouldn't be caught dead buying this... Hello!"
Ned Flanders,"Ah, got your eye on the gas grill. She's a butane beaut."
Homer Simpson,I'll give you twenty bucks for it.
Ned Flanders,"Twenty? Homer, I paid three hundred dollars for this just last year."
Homer Simpson,"You were swindled, my friend. Twenty bucks. Take it or leave it."
Ned Flanders,"Oh, Homer, be reasonable."
Homer Simpson,Sorry! No cash for Neddie! Homer keep all money! Bye bye Neddie! Bye bye!
Ned Flanders,"All right, Homer."
Homer Simpson,Twenty dollars?
Ned Flanders,Twenty dollars.
Homer Simpson,Now I don't want it.
Ned Flanders,What?
Homer Simpson,"I changed my mind. It was a passing fancy. Although perhaps if you threw in a few lawn chairs, maybe that tool bench, it might rekindle my interest."
,
Homer Simpson,"Hey, Bartle- eeboobely, care for a steak-a-rooney?"
Bart Simpson,"Sounds scrump-didly-umptious, dear old Daddly-doodly."
Homer Simpson,Daddly-doodly.
Bart Simpson,
Marge Simpson,"Homer, this is the Flanders' entire living room set. How much did you pay for this?"
Homer Simpson,Only seventy-five beans!
Marge Simpson,Seventy-five dollars? Ned must be desperate!
Lisa Simpson,"I'm sure you did nothing to discourage this, you scavenger of human misery."
Bart Simpson,"Hey, keep your hands off my china hutch."
Collection Agent,"Good afternoon, sir, I'm Chuck Ellis from the Springfield Collection Agency, and I'm here to ask you why you don't think you need to pay your bills."
Homer Simpson,"Oh, I know I need to pay them. But there's just so many."
Collection Agent,"Does it make you feel good about yourself to owe people money? We've been very patient with you, Mr. Flanders."
Homer Simpson,
Homer Simpson,"I know, but... Wait a minute. I'm Homer Simpson. Ned Flanders lives over there."
Collection Agent,Oh.
Homer Simpson,Flanders is in debt? Are you sure?
Collection Agent,We don't make mistakes.
Collection Agent,Damn right-handed ledgers... can't write in these things...
Homer Simpson,"Uh, there's a store where..."
Collection Agent,"Hey, you said you're Homer Simpson?"
Homer Simpson,Yeah.
Collection Agent,See you on Thursday.
Homer Simpson,
,
Homer Simpson,"Knock 'em dead, boy! Kid's gonna be a black belt in no time."
Homer Simpson,
,
Kearney Zzyzwicz,"Hey, check out the saxophone!"
DOLPH,"Pretty boss, but there's something stuck on it."
Lisa Simpson,Hey!!
DOLPH,"Hey, look at me -- I'm Elvis, man."
Lisa Simpson,You give that back. That belongs to me! That's mine!
DOLPH,"If you want it, just take it."
DOLPH,Okay. We're sorry. This time we're really gonna give it to you.
Lisa Simpson,"Hey, stop that."
Bart Simpson,"Hey Lis, something wrong?"
Lisa Simpson,Not any more. You punks are about to get a taste of your own medicine. This is my brother... and he knows Karate.
Bart Simpson,Uh oh.
DOLPH,"Oh, we're real scared."
Kearney Zzyzwicz,"Please don't hurt us, Bart!"
Jimbo Jones,"What are you gonna do, throw your diapers at us?"
Lisa Simpson,"Yeah, just keep laughing, it only makes him madder. Come on, Bart, start them off with the touch of death and go from there."
Bart Simpson,"I think they've learned their lesson already, Lis."
DOLPH,"No, we want to see the touch of death."
Kearney Zzyzwicz,"Yeah, come on Karate kid. Waste me!"
Lisa Simpson,It's funny how two wrongs sometimes make a right.
,
Ned Flanders,Homer! Over here!
Homer Simpson,"Oh, Flanders, I, uh, want to give you your stuff back."
Ned Flanders,"Well, there's no house to put it in, Homer, not since that nice fellow from the bank, who was only doing his job, came and locked it up."
Homer Simpson,You're gonna live in your car?
Ned Flanders,"Oh, oh, no, it's just a little campout tonight, then off to my sister's apartment in Capital City. Hey what do think, kids? The big city!"
Rod Flanders,Yay!
Ned Flanders,"Say, Todd, I want to talk to your Uncle Homer. You're head of the car till I get back."
Todd Flanders,"Okay, Dad. GRAY SKIES ARE GONNA CLEAR UP /"
Maude Flanders,PUT ON A HAPPY FACE / BRUSH OFF THE CLOUDS AND CHEER UP / PUT ON A HAPPY FACE /
Maude Flanders,TAKE OFF THE GLOOMY MASK OF TRAGEDY / IT'S NOT YOUR STYLE / YOU'LL LOOK SO GOOD THAT YOU'LL BE GLAD YOU DECIDED TO SMILE / TAKE OUT A PLEASANT OUTLOOK / STICK OUT THAT NOBLE CHIN / WIPE OUT THAT FULL OF DOUBT LOOK / PUT ON A HAPPY GRIN / AND SPREAD SUNSHINE / ALL OVER THE PLACE / JUST PUT ON A HAPPY FACE.
Ned Flanders,"Listen to that singing... those poor fools. Homer, I'm ruined."
Homer Simpson,I know!
Ned Flanders,"You know at times like these, I-I used to turn to the Bible and find solace. But even the good book can't help me now."
Homer Simpson,Why not?
Ned Flanders,I sold it to you for seven cents.
Homer Simpson,Oh.
Ned Flanders,"You know, ever since that barbecue, nothing's gone right. It's like there's been a-a curse on me."
Homer Simpson,"Oh, it's all my fault."
Ned Flanders,No it's not.
Homer Simpson,Yes it is.
Ned Flanders,"No! You tried to warn me about gambling my family's future on some pig in a poke... I didn't listen. Homer, you were a true friend."
Homer Simpson,"No, I was a swine."
Homer Simpson,"Listen, Flanders, do you still have that store?"
Ned Flanders,For two more days. Then it becomes Libertarian Party headquarters. I hope they have better luck than I did.
Homer Simpson,"Flanders, you open that store tomorrow!"
Bear,
Ned Flanders,"Oh, Homer, there's no point..."
Homer Simpson,I SAID DO IT!
Homer Simpson,"Hello, Jerry? Homer Simpson. Remember last month, when I paid back that loan? Well, now I need you to do a favor for me."
Moe Szyslak,"A left-handed corkscrew? Oh, baby!"
Barney Gumble,"""Kiss Me, I'm Left-Handed""? That's a classic!"
Barney Gumble,Whoa!
Wife,Homer Simpson's on the phone.
Neighborhood Guy,Tell him I went out.
Wife,He needs you to help Ned Flanders.
Neighborhood Guy,Ned Flanders is in trouble!?
,
C. Montgomery Burns,"Smithers, I'm licked. You open this can."
Waylon Smithers,"Okay, but you softened it up for me, sir."
C. Montgomery Burns,"Hold it, Smithers! I'll open the can!"
Waylon Smithers,"But sir, how?"
C. Montgomery Burns,To the mall! I'll explain on the way!
,
Maude Flanders,"Hurry, Neddie, hurry! Oh golly, it's a miracle!"
Homer Simpson,"C'mon, you lefties. What'd I tell you?"
Ned Flanders,Homer?
Homer Simpson,"It's all here, and it's all backwards. That's right."
C. Montgomery Burns,"The world has turned has it not my tin-plated friend? Look at you -- you, who were once so proud -- Feel the wrath of the left hand of Burns!"
Moe Szyslak,My life begins today!
Barney Gumble,Wow! What an icebreaker!
Collection Agent,Left-handed ledgers! Now I can write all the way to the edge!
Akira,Ah ha ha... left-handed Nunchuks.
Todd Flanders,Wow.
C. Montgomery Burns,"The boys at the Diners Club will think I've gone quite mad. Oh, and I'll have that roadster in the corner as well."
Ned Flanders,"Yes, sir!"
C. Montgomery Burns,Huzzah for the shopkeep!
Ned Flanders,"Homer, affordable tract housing made us neighbors. But you made us friends."
Homer Simpson,To Ned Flanders... the richest left- handed man in town.
Todd Flanders,Everybody! GREY SKIES ARE GONNA CLEAR UP /
Shoppers,STICK OUT THAT NOBLE CHIN / WIPE OFF THAT FULL OF DOUBT LOOK / SLAP ON A HAPPY GRIN / AND SPREAD SUNSHINE ALL OVER THE PLACE / JUST PUT ON A HAPPY FACE!
,
Bart Simpson,Good mornin' world!
Bart Simpson,Ow!
,
Bart Simpson,Good morning Lisa!
Lisa Simpson,What are you so happy about?
Bart Simpson,"Why shouldn't I be happy? It's a beautiful day, my homework is done, I've got my mojo workin' and we're goin' on a field trip this afternoon."
Bart Simpson,And... looks like I got me a genuine glow-in-the-dark police badge.
Bart Simpson,Hey! It's not in here. You stole it!
Lisa Simpson,"No one wants your stupid police badge, Bart."
Homer Simpson,"Hey, look what I got. A genuine official police badge... Calling all cars... come out with your hands up!"
Bart Simpson,"Hey, that's my badge, Homer."
Homer Simpson,"That's Officer Homer. Heh heh, heh, heh."
,
Bart Simpson,... Lousy prize-grabbing... badge-wearing...
Bart Simpson,You ate my homework?
Bart Simpson,I didn't know dogs really did that.
,
Bart Simpson,Wait! Wait!
,
,
Bart Simpson,
,
Edna Krabappel-Flanders,Bart Simpson! You're late! Go fill out a tardy slip.
Bart Simpson,But I'm only... ... ... five... ten... twenty... forty minutes? That's pretty damn late.
,
Bart Simpson,Hey girls! Look at me!
Bart Simpson,You can stop lookin' at me now.
Bart Simpson,
,
Edna Krabappel-Flanders,"Well, it's nearly one o'clock. And you know what that means."
,
Milhouse Van Houten,My glasses.
,
Edna Krabappel-Flanders,That's right. It's time for our field trip to the chocolate factory. I trust you all remembered to bring your permission slips.
Bart Simpson,
,
,
Bart Simpson,What a day.
,
Lisa Simpson,I'm gonna eat EIGHT pieces of chocolate.
Ralph Wiggum,I'm gonna eat chocolate till I barf.
,
Seymour Skinner,"Don't worry, Bart, we'll find something fun for you to do."
Seymour Skinner,Ah! Here we are! Here's a whole box of unsealed envelopes for the PTA.
Bart Simpson,You're making me lick envelopes?
Seymour Skinner,"Oh, licking envelopes can be fun! All you have to do is make a game of it."
Bart Simpson,What kind of game?
Seymour Skinner,"Well... for example... you could see how many you can lick in an hour, and then try to break that record."
Bart Simpson,Sounds like a pretty crappy game to me.
Seymour Skinner,Yes... well... get started.
,
Milhouse Van Houten,Oh my God. It's Cocoa Beanie himself.
Lisa Simpson,I think this is something Bart would really have enjoyed. But it's the only way he'll learn.
,
Troy McClure,"Welcome to the chocolate factory. I'm Troy McClure. You probably remember me from such films as ""The Revenge of Abe Lincoln"" and ""The Wackiest Covered Wagon in the West."" The history of chocolate starts with the ancient Aztecs."
Troy McClure,"In those days, instead of being wrapped in a hygienic package, chocolate was wrapped in a tobacco leaf."
Troy McClure,"And instead of being pure chocolate like we have today, it was mixed with shredded tobacco. And they didn't eat it. They smoked it."
,
Seymour Skinner,"You didn't believe me when I said it would be fun, did you?"
Bart Simpson,No thir.
Bart Simpson,
Executive,"Please, kids, play sanitary."
,
Bart Simpson,Tan Die Doe Dow?
Seymour Skinner,What?
Bart Simpson,Tan... Die.... Doe... Dow.
Seymour Skinner,"Hmm... Well there's still a minute to go... oh, why not! But don't you tell your teacher I let you go home early."
Bart Simpson,Die don't.
,
,
Bart Simpson,
Bart Simpson,What next?
Bart Simpson,Uh-oh.
,
Fat Tony,"Hey, what's with the kid?"
Bart Simpson,Hands off the material!
Legs,Whaddaya know! The kid's tough.
Louie,He's got spunk.
Fat Tony,"I wonder if he is lucky also. Pick a horse, kid. Shelbyville Downs. Third race. Make it a good one."
Bart Simpson,Eat my shorts.
Fat Tony,"Eat my shorts. Ah, okay. Let's see... Heyy... Wait a minute, you little punk! Eat My Shorts is in the fifth race. I said the third race!"
Bart Simpson,Don't have a cow.
Fat Tony,"Hmm... ""Don't have a cow"" in the third. Put a deuce on him."
Fat Tony,"While we are waiting to see how lucky you are, let me show you around. This is our bar, and over there is our slot machine and card tables...."
Bart Simpson,Cool!
Joey,Hey Boss! Here's the call for the third race.
Race Announcer,"...As they come out of the turn it's ""Sufferin Succotash"" by a neck over ""Yabbadabbadoo."" Two lengths back to ""Ain't I a Stinker"" and ""That's All Folks."" ""I Yam What I Yam"" can see them all. But here comes ""Donhavacow"" flyin' on the outside. And at the wire it's all ""Donhavacow!"""
Fat Tony,"Hey, I like this kid. I can't believe we were gonna shoot him. Can you mix drinks?"
Bart Simpson,I don't know.
Legs,I'll have a Manhattan.
Fat Tony,Make Legs a Manhattan.
Bart Simpson,I'm not sure I...
Fat Tony,Well?
Legs,Supoib.
,
Marge Simpson,You got a job? Doing what?
Bart Simpson,"Oh... I dunno... mixing drinks, picking horses, cuttin' cigars... you know -- a job."
Marge Simpson,"Bart, your father and I don't want you doing that. Homer, say something."
Homer Simpson,How much does it pay?
Bart Simpson,Thirty bucks a week.
Homer Simpson,Pfft. I make more than that.
Bart Simpson,"I was lookin' for those. Thanks, doll."
Marge Simpson,
Fat Tony,It's funny because it's true.
Legs,Well obsoived.
Fat Tony,"Chief Wiggum, you honor us with your presence."
Chief Wiggum,Baloney. I'm not gonna rest until one of us is behind bars -- You! You wouldn't happen to know anything about a cigarette truck that got hijacked on route 401?
Fat Tony,What's a truck?
Chief Wiggum,Don't play dumb with me!
Fat Tony,"Relax Chief, you seem tense. You know, the boy here makes an excellent Manhattan."
Chief Wiggum,"Ah... I'm still gonna put you away, you know."
Fat Tony,"Good for you, Chief."
Homer Simpson,... Bart! Have you started smoking?
Bart Simpson,No.
Homer Simpson,Don't lie to me boy.
Homer Simpson,"Aha! Cigarettes, just as I thought."
Bart Simpson,They're not mine. My boss said his warehouse was full.
Homer Simpson,"Yeah, right. Son... I'm gonna teach you a lesson. I'm going to stand here and watch you smoke every one of those cigarettes. Then maybe you'll learn..."
Delivery Man,Uh... Fat Tony sent me over to pick up the goods.
Bart Simpson,Right in here my man.
Delivery Man,"Hey kid, you look good with that cigarette. Kind of sophisticated."
Homer Simpson,"Son, I'll never doubt you again."
Kent Brockman,The contents of the hijacked truck: some twelve thousand cartons of Laramie 100's.
Marge Simpson,Homer? Homer!
Chief Wiggum,"We have... uh... Please, we have a number of leads. And let me assure all you smokers out there... there is no shortage of cigarettes."
Reporter,How do we know that?
Chief Wiggum,"All right, let me refer that question back to Jack Larson, of Laramie Tobacco Products. Jack?"
Jack Larson,"Thank you Chief. Folks, I'm pleased to announce that a new truckload of Laramies with their smooth good taste and rich tobacco flavor is already heading towards Springfield. And the driver has been instructed to ignore all stop signs and crosswalks."
Kent Brockman,"The police suspect the involvement of reputed mobster William ""Fat Tony"" Williams."
Chief Wiggum,Fat Tony is a cancer on this fair city. He is the cancer and I am the... uh... ... what cures cancer?
Lisa Simpson,"Bart, is your boss a crook?"
Bart Simpson,I don't think so. Although it would explain an awful lot.
,
Fat Tony,Me and the boys wish to thank you for hanging onto this stuff for us.
Bart Simpson,"Thanks... uh... Say, are you guys crooks?"
Fat Tony,"Bart, um... is it wrong to steal a loaf of bread to feed your starving family?"
Bart Simpson,No.
Fat Tony,"Well, suppose you got a large starving family. Is it wrong to steal a truckload of bread to feed them?"
Bart Simpson,Uh-uh.
Fat Tony,"And what if your family don't like bread, they like cigarettes?"
Bart Simpson,I guess that's okay.
Fat Tony,"Now, what if instead of giving them away, you sold them at a price that was practically giving them away. Would that be a crime, Bart?"
Bart Simpson,Hell no!
Fat Tony,Enjoy your gift.
Bart Simpson,Supoib.
,
Bart Simpson,"THOSE FINGERS THROUGH MY HAIR / THAT SLY COME HITHER STARE / THAT STRIPS MY CONSCIENCE BARE / IT'S WITCHCRAFT - GIMME THREE FINGERS OF MILK, MA."
Marge Simpson,
Marge Simpson,"I know it's good for a boy to have a part-time job, but I'm not sure about the people Bart's working for. I thinks they're criminals."
Fat Tony,The kiss of death. That's all I need!
Homer Simpson,"A job's a job. I mean, take me. If my plant pollutes the water and poisons the town, by your logic that would make me a criminal."
Marge Simpson,"Well, Bart's been acting very strangely. And that pizza delivery truck has been parked across the street for two weeks."
Marge Simpson,How long does it take to deliver a pizza?
,
Fbi Agent #1,Looks like our cover's blown.
Fbi Agent #2,Let's roll.
,
Homer Simpson,See? It was all your imagination.
Marge Simpson,"Homer, I want you to go down to that club and talk to them. Just see what kind of people they are. Please, Homie?"
Homer Simpson,"Oh, all right."
,
Homer Simpson,"Hee hee, hee-hee-hee! Read 'em and weep boys, another pair of sixes."
Fat Tony,Beats me.
Joey,I was bluffin'.
Legs,"You win again, Homer."
Homer Simpson,
Fat Tony,I am thrilled you've decided to let your boy continue to work here.
Homer Simpson,"You know if you need a hat check girl, I've got a daughter."
Fat Tony,"Homer, you're a hellava father."
,
Marge Simpson,"Homer, what did you find out?"
Homer Simpson,"Marge, the only thing going on down there was a lot of male bonding."
,
Bart Simpson,"More ""stink lines"" boys."
Seymour Skinner,What's this? What are you boys doing?
Bart Simpson,You ain't seen nothin'. Now beat it.
,
Rival Gang Leader,"So, Fat Tony. You invite me and my associates to your club with the promise of the finest Manhattans in all of Springfield. Now you say your bartender isn't here?"
Fat Tony,I don't know what happened. He's never late. Louie! Make up some Manhattans.
Louie,But I only know how to make wine spritzers.
Fat Tony,Now!
Rival Gang Leader,"What have I done to deserve this flat, flavorless Manhattan?"
Rival Gang Leader,"Come on, boys."
Bart Simpson,Lousy Skinner.
Fat Tony,You are late for work.
Bart Simpson,Of course I'm late for work. How can I be on time when Principal Skinner keeps me after school?
Fat Tony,This guy Skinner causing you trouble?
Bart Simpson,"He sure is, Patrone."
Fat Tony,"Hm... perhaps we should go to meet and greet this individual. Come on, boys."
,
Secretary,"Some large men to see you, sir."
Seymour Skinner,I don't have an appointment with any large men --
Fat Tony,You Skinner?
Seymour Skinner,"I'm PRINCIPAL Skinner, yes. And how, may I ask, did you get past the hall monitors?"
,
Edna Krabappel-Flanders,"Children, I don't know how to break this to you, but Principal Skinner is... ... MISSING!"
Bart Simpson,Uh-oh.
,
,
Groundskeeper Willie,I thought I found him but it was only a cat.
,
,
Chief Wiggum,"Now please... Please, please, I can assure you we'll be using the most advanced, scientific techniques in the field of... body finding."
Psychic,I see wedding bells for Vanna White and Teddy Kennedy....
Chief Wiggum,"Please, Princess Opal, if we could just stick to Principal Skinner."
Psychic,"Chief Wiggum, I am merely a conduit for the spirits. Willie Nelson will astound his fans by swimming the English Channel."
Chief Wiggum,Really? Willie Nelson?
,
Edna Krabappel-Flanders,He loved fire drills.
Groundskeeper Willie,"Will ya get a hold of yourself, Lass, for the wee bairns!"
,
Lewis Clark,Hey look at me! I'm Skinner's body!
Bart Simpson,"That is not funny, Lewis."
Milhouse Van Houten,"Well, I heard Skinner's buried under his parking spot."
Richard,I heard he was ground up into hamburger and served to us at lunch.
Nelson Muntz,I heard Bart had Skinner killed by gangsters.
Bart Simpson,That's not true! It's just a rumor! You're engaged in speculation. I know the law. You can't prove anything.
,
Skinner Body,You killed me Bart.
Bart Simpson,
Skinner Body,"You killed me, Bart!"
Bart Simpson,
Skinner Body,"You k-killed me, Bart!"
Bart Simpson,
,
Bart Simpson,Reverend Lovejoy! You've... you've come to comfort me?
Rev. Timothy Lovejoy,"Yes, Bart. ... There there... there there..."
,
Homer Simpson,Kill my boy! Kill my boy!
,
,
,
